period,order_quantity
1,550.0
2,200.0
3,350.0
4,600.0
5,50.0
6,492.0
7,666.0
8,787.0
9,1000.0
10,1093.0
11,1071.0
12,1294.0
13,1137.0
14,1531.0
15,1276.0
16,1850.0
17,1592.0
18,1787.0
19,1893.0
20,2186.0
21,1775.0
22,2095.0
23,2318.0
24,2800.0
25,2310.0
26,2309.0
27,2477.0
28,2615.0
29,2883.0
30,3100.0
31,2966.0
32,3237.0
33,2847.0
34,3600.0
35,3113.0
36,3690.0
37,3950.0
38,3793.0
39,3271.0
40,3642.0
41,4300.0
42,4410.0
43,4421.0
44,4146.0
45,4388.0
46,4407.0
47,4466.0
48,4468.0
49,5000.0
50,5400.0
