period,order_quantity
1,250.0
2,184.0
3,650.0
4,713.0
5,600.0
6,0.0
7,811.0
8,587.0
9,882.0
10,1161.0
11,1021.0
12,1454.0
13,1077.0
14,1381.0
15,1326.0
16,2000.0
17,1742.0
18,1287.0
19,2193.0
20,2136.0
21,1925.0
22,1995.0
23,2268.0
24,2799.0
25,2760.0
26,2009.0
27,2427.0
28,2565.0
29,2833.0
30,3300.0
31,2766.0
32,3437.0
33,2897.0
34,3632.0
35,3213.0
36,3290.0
37,4200.0
38,3643.0
39,3371.0
40,3892.0
41,4606.0
42,3810.0
43,4721.0
44,3746.0
45,4488.0
46,4507.0
47,4466.0
48,4368.0
49,5500.0
50,5048.0
