period,order_quantity
1,650.0
2,250.0
3,0.0
4,780.0
5,376.0
6,360.0
7,833.0
8,618.0
9,625.0
10,981.0
11,1150.0
12,1379.0
13,1502.0
14,1075.0
15,1517.0
16,1436.0
17,1728.0
18,1586.0
19,2100.0
20,2000.0
21,2000.0
22,2300.0
23,2400.0
24,2200.0
25,2600.0
26,2550.0
27,2454.0
28,2458.0
29,3200.0
30,3110.0
31,3153.0
32,3152.0
33,3151.0
34,3344.0
35,3483.0
36,3900.0
37,3457.0
38,3817.0
39,4400.0
40,4000.0
41,3474.0
42,4397.0
43,4099.0
44,4600.0
45,4670.0
46,4755.0
47,4638.0
48,5100.0
49,4720.0
50,4481.0
