[2026-02-01 23:10:01] Starting parallel batch run
[2026-02-01 23:10:01] Instances to process: 200
[2026-02-01 23:10:01] Master log: D:\TextArena\examples\benchmark\real_trajectory\lead_time_4\batch_log_20260201_231001.txt
[2026-02-01 23:10:01] 
Starting 200 instances with 3 parallel workers...
[2026-02-01 23:13:03] [1/200] SUCCESS: 108775044
[2026-02-01 23:13:07] [2/200] SUCCESS: 111586001
[2026-02-01 23:13:23] [3/200] SUCCESS: 120129001
[2026-02-01 23:16:01] [4/200] SUCCESS: 156231001
[2026-02-01 23:16:12] [5/200] SUCCESS: 148033001
[2026-02-01 23:16:17] [6/200] SUCCESS: 160442007
[2026-02-01 23:19:05] [7/200] SUCCESS: 160442010
[2026-02-01 23:19:10] [8/200] SUCCESS: 160442043
[2026-02-01 23:19:10] [9/200] SUCCESS: 179123001
[2026-02-01 23:22:09] [10/200] SUCCESS: 189616008
[2026-02-01 23:22:31] [11/200] SUCCESS: 179950001
[2026-02-01 23:22:32] [12/200] SUCCESS: 189616006
[2026-02-01 23:25:10] [13/200] SUCCESS: 189634001
[2026-02-01 23:25:39] [14/200] SUCCESS: 224606019
[2026-02-01 23:25:49] [15/200] SUCCESS: 243937001
[2026-02-01 23:28:29] [16/200] SUCCESS: 253448001
[2026-02-01 23:28:52] [17/200] SUCCESS: 253448003
[2026-02-01 23:29:02] [18/200] SUCCESS: 294008002
[2026-02-01 23:31:48] [19/200] SUCCESS: 305931001
[2026-02-01 23:31:54] [20/200] SUCCESS: 316441001
[2026-02-01 23:32:11] [21/200] SUCCESS: 372860001
[2026-02-01 23:34:53] [22/200] SUCCESS: 372860002
[2026-02-01 23:34:57] [23/200] SUCCESS: 372860024
[2026-02-01 23:35:30] [24/200] SUCCESS: 396135007
[2026-02-01 23:37:51] [25/200] SUCCESS: 399061008
[2026-02-01 23:38:05] [26/200] SUCCESS: 399087014
[2026-02-01 23:38:33] [27/200] SUCCESS: 399087021
[2026-02-01 23:40:57] [28/200] SUCCESS: 399087030
[2026-02-01 23:40:59] [29/200] SUCCESS: 399223001
[2026-02-01 23:41:27] [30/200] SUCCESS: 399223033
[2026-02-01 23:44:02] [31/200] SUCCESS: 399223034
[2026-02-01 23:44:22] [32/200] SUCCESS: 399223035
[2026-02-01 23:44:54] [33/200] SUCCESS: 399256001
[2026-02-01 23:47:00] [34/200] SUCCESS: 399256005
[2026-02-01 23:47:22] [35/200] SUCCESS: 399256018
[2026-02-01 23:48:22] [36/200] SUCCESS: 399256023
[2026-02-01 23:50:51] [37/200] SUCCESS: 448509001
[2026-02-01 23:51:06] [38/200] SUCCESS: 399256032
[2026-02-01 23:51:33] [39/200] SUCCESS: 448509014
[2026-02-01 23:53:50] [40/200] SUCCESS: 457892003
[2026-02-01 23:53:58] [41/200] SUCCESS: 458239001
[2026-02-01 23:54:48] [42/200] SUCCESS: 464297007
[2026-02-01 23:57:03] [43/200] SUCCESS: 464908002
[2026-02-01 23:57:05] [44/200] SUCCESS: 465655010
[2026-02-01 23:57:52] [45/200] SUCCESS: 465655019
[2026-02-02 00:00:15] [46/200] SUCCESS: 470789001
[2026-02-02 00:00:20] [47/200] SUCCESS: 473954008
[2026-02-02 00:01:04] [48/200] SUCCESS: 487722001
[2026-02-02 00:03:22] [49/200] SUCCESS: 506098007
[2026-02-02 00:04:44] [50/200] SUCCESS: 507883009
[2026-02-02 00:06:36] [51/200] SUCCESS: 507883014
[2026-02-02 00:07:04] [52/200] SUCCESS: 507909001
[2026-02-02 00:07:59] [53/200] SUCCESS: 507909003
[2026-02-02 00:09:49] [54/200] SUCCESS: 516859008
[2026-02-02 00:10:33] [55/200] SUCCESS: 516903005
[2026-02-02 00:11:09] [56/200] SUCCESS: 536139006
[2026-02-02 00:13:36] [57/200] SUCCESS: 538699001
[2026-02-02 00:13:53] [58/200] SUCCESS: 538699007
[2026-02-02 00:16:00] [59/200] SUCCESS: 536139010
[2026-02-02 00:17:08] [60/200] SUCCESS: 554450001
[2026-02-02 00:17:14] [61/200] SUCCESS: 547780001
[2026-02-02 00:19:07] [62/200] SUCCESS: 554450004
[2026-02-02 00:20:27] [63/200] SUCCESS: 554450019
[2026-02-02 00:20:36] [64/200] SUCCESS: 554450027
[2026-02-02 00:22:35] [65/200] SUCCESS: 554450036
[2026-02-02 00:23:42] [66/200] SUCCESS: 554479001
[2026-02-02 00:23:54] [67/200] SUCCESS: 554477005
[2026-02-02 00:25:51] [68/200] SUCCESS: 554598001
[2026-02-02 00:26:35] [69/200] SUCCESS: 554598038
[2026-02-02 00:27:06] [70/200] SUCCESS: 554598047
[2026-02-02 00:28:49] [71/200] SUCCESS: 554598057
[2026-02-02 00:29:50] [72/200] SUCCESS: 554772002
[2026-02-02 00:30:22] [73/200] SUCCESS: 554772003
[2026-02-02 00:31:44] [74/200] SUCCESS: 554792001
[2026-02-02 00:33:37] [75/200] SUCCESS: 561445006
[2026-02-02 00:33:41] [76/200] SUCCESS: 561445005
[2026-02-02 00:36:04] [77/200] SUCCESS: 562245018
[2026-02-02 00:36:38] [78/200] SUCCESS: 562245046
[2026-02-02 00:36:49] [79/200] SUCCESS: 562245050
[2026-02-02 00:39:24] [80/200] SUCCESS: 562245062
[2026-02-02 00:39:29] [81/200] SUCCESS: 565379001
[2026-02-02 00:39:59] [82/200] SUCCESS: 568597006
[2026-02-02 00:42:47] [83/200] SUCCESS: 568601006
[2026-02-02 00:42:57] [84/200] SUCCESS: 568808001
[2026-02-02 00:43:46] [85/200] SUCCESS: 570003002
[2026-02-02 00:45:56] [86/200] SUCCESS: 572797001
[2026-02-02 00:46:04] [87/200] SUCCESS: 572797002
[2026-02-02 00:47:36] [88/200] SUCCESS: 573085004
[2026-02-02 00:49:02] [89/200] SUCCESS: 573085028
[2026-02-02 00:49:18] [90/200] SUCCESS: 573716012
[2026-02-02 00:50:37] [91/200] SUCCESS: 573937001
[2026-02-02 00:52:22] [92/200] SUCCESS: 574109012
[2026-02-02 00:52:32] [93/200] SUCCESS: 575347003
[2026-02-02 00:53:58] [94/200] SUCCESS: 578476001
[2026-02-02 00:55:34] [95/200] SUCCESS: 579302001
[2026-02-02 00:55:44] [96/200] SUCCESS: 579541001
[2026-02-02 00:56:47] [97/200] SUCCESS: 580770001
[2026-02-02 00:58:31] [98/200] SUCCESS: 583534002
[2026-02-02 00:59:03] [99/200] SUCCESS: 589748001
[2026-02-02 01:00:25] [100/200] SUCCESS: 591334019
[2026-02-02 01:02:30] [101/200] SUCCESS: 599580017
[2026-02-02 01:03:07] [102/200] SUCCESS: 603145001
[2026-02-02 01:04:17] [103/200] SUCCESS: 605094001
[2026-02-02 01:06:01] [104/200] SUCCESS: 608458001
[2026-02-02 01:06:40] [105/200] SUCCESS: 608776002
[2026-02-02 01:07:32] [106/200] SUCCESS: 610776001
[2026-02-02 01:09:37] [107/200] SUCCESS: 610776002
[2026-02-02 01:09:58] [108/200] SUCCESS: 610776022
[2026-02-02 01:10:49] [109/200] SUCCESS: 610776028
[2026-02-02 01:12:39] [110/200] SUCCESS: 610776033
[2026-02-02 01:13:06] [111/200] SUCCESS: 611415001
[2026-02-02 01:14:04] [112/200] SUCCESS: 615141002
[2026-02-02 01:15:41] [113/200] SUCCESS: 618800001
[2026-02-02 01:16:01] [114/200] SUCCESS: 618800007
[2026-02-02 01:17:18] [115/200] SUCCESS: 621381001
[2026-02-02 01:18:46] [116/200] SUCCESS: 621381012
[2026-02-02 01:19:07] [117/200] SUCCESS: 624486001
[2026-02-02 01:20:30] [118/200] SUCCESS: 624486002
[2026-02-02 01:21:38] [119/200] SUCCESS: 629420007
[2026-02-02 01:22:23] [120/200] SUCCESS: 636323001
[2026-02-02 01:23:27] [121/200] SUCCESS: 636323002
[2026-02-02 01:24:31] [122/200] SUCCESS: 636323003
[2026-02-02 01:25:32] [123/200] SUCCESS: 639448001
[2026-02-02 01:26:46] [124/200] SUCCESS: 640021005
[2026-02-02 01:27:33] [125/200] SUCCESS: 655784001
[2026-02-02 01:28:52] [126/200] SUCCESS: 658030001
[2026-02-02 01:29:53] [127/200] SUCCESS: 658030006
[2026-02-02 01:30:51] [128/200] SUCCESS: 658030011
[2026-02-02 01:32:07] [129/200] SUCCESS: 658030020
[2026-02-02 01:33:13] [130/200] SUCCESS: 660726001
[2026-02-02 01:34:11] [131/200] SUCCESS: 664074001
[2026-02-02 01:35:13] [132/200] SUCCESS: 664319001
[2026-02-02 01:36:43] [133/200] SUCCESS: 664405002
[2026-02-02 01:37:18] [134/200] SUCCESS: 671852003
[2026-02-02 01:38:32] [135/200] SUCCESS: 673396002
[2026-02-02 01:40:18] [136/200] SUCCESS: 675068002
[2026-02-02 01:40:31] [137/200] SUCCESS: 677930023
[2026-02-02 01:41:58] [138/200] SUCCESS: 678342002
[2026-02-02 01:43:21] [139/200] SUCCESS: 678687001
[2026-02-02 01:43:29] [140/200] SUCCESS: 678691002
[2026-02-02 01:44:58] [141/200] SUCCESS: 678692001
[2026-02-02 01:46:33] [142/200] SUCCESS: 678696001
[2026-02-02 01:46:33] [143/200] SUCCESS: 678942001
[2026-02-02 01:47:57] [144/200] SUCCESS: 679853001
[2026-02-02 01:49:29] [145/200] SUCCESS: 680262001
[2026-02-02 01:49:32] [146/200] SUCCESS: 679854001
[2026-02-02 01:50:46] [147/200] SUCCESS: 680262006
[2026-02-02 01:52:23] [148/200] SUCCESS: 682550001
[2026-02-02 01:52:51] [149/200] SUCCESS: 685813001
[2026-02-02 01:53:51] [150/200] SUCCESS: 685813002
[2026-02-02 01:55:36] [151/200] SUCCESS: 685813005
[2026-02-02 01:56:16] [152/200] SUCCESS: 685814001
[2026-02-02 01:56:46] [153/200] SUCCESS: 685814003
[2026-02-02 01:58:46] [154/200] SUCCESS: 685816001
[2026-02-02 01:59:44] [155/200] SUCCESS: 685816002
[2026-02-02 01:59:54] [156/200] SUCCESS: 687704001
[2026-02-02 02:01:57] [157/200] SUCCESS: 687704002
[2026-02-02 02:02:34] [158/200] SUCCESS: 688105002
[2026-02-02 02:02:51] [159/200] SUCCESS: 688432001
[2026-02-02 02:05:18] [160/200] SUCCESS: 688537004
[2026-02-02 02:06:08] [161/200] SUCCESS: 689389004
[2026-02-02 02:06:23] [162/200] SUCCESS: 688558002
[2026-02-02 02:08:23] [163/200] SUCCESS: 692226003
[2026-02-02 02:09:01] [164/200] SUCCESS: 692226004
[2026-02-02 02:09:55] [165/200] SUCCESS: 695584001
[2026-02-02 02:11:43] [166/200] SUCCESS: 695632001
[2026-02-02 02:12:15] [167/200] SUCCESS: 695632002
[2026-02-02 02:13:03] [168/200] SUCCESS: 697054003
[2026-02-02 02:14:29] [169/200] SUCCESS: 697054014
[2026-02-02 02:15:09] [170/200] SUCCESS: 697564010
[2026-02-02 02:16:05] [171/200] SUCCESS: 706016001
[2026-02-02 02:18:28] [172/200] SUCCESS: 706016003
[2026-02-02 02:19:14] [173/200] SUCCESS: 706016004
[2026-02-02 02:19:21] [174/200] SUCCESS: 706016002
[2026-02-02 02:21:44] [175/200] SUCCESS: 706016006
[2026-02-02 02:22:30] [176/200] SUCCESS: 706016015
[2026-02-02 02:22:37] [177/200] SUCCESS: 708021001
[2026-02-02 02:25:17] [178/200] SUCCESS: 711053003
[2026-02-02 02:25:34] [179/200] SUCCESS: 711053004
[2026-02-02 02:25:45] [180/200] SUCCESS: 711440001
[2026-02-02 02:28:30] [181/200] SUCCESS: 712587002
[2026-02-02 02:28:35] [182/200] SUCCESS: 712216001
[2026-02-02 02:28:44] [183/200] SUCCESS: 715624001
[2026-02-02 02:31:51] [184/200] INCOMPLETE: 717490001 - Results incomplete after benchmark
[2026-02-02 02:31:52] [185/200] INCOMPLETE: 717490002 - Results incomplete after benchmark
[2026-02-02 02:31:52] [186/200] INCOMPLETE: 717464001 - Results incomplete after benchmark
[2026-02-02 02:31:55] [187/200] INCOMPLETE: 717490003 - Results incomplete after benchmark
[2026-02-02 02:31:56] [188/200] INCOMPLETE: 717490015 - Results incomplete after benchmark
